nombre,responsabilidad
LÍDER GENERAL,"Definir, desarrollar y supervisar los planes y estrategias que contribuyan al desarrollo de la empresa para ser altamente productiva, plenamente humana y socialmente responsable."
LÍDER COMERCIAL,"Determinar y proporcionar los recursos necesarios para el establecimiento, implementación y mantenimiento para su eficacia y mejora en el servicio."
LÍDER DE OPERACIONES,"Supervisar e implementar  la producción y provisión del servicio bajo condiciones controladas, conocer las características de los productos y actividades a desempeñar."
LÍDER DE DESARROLLO HUMANO,"Promover el Desarrollo Integral Humano, contribuyendo al logro de los objetivos estratégicos de la empresa, en función de los valores y cultura organizacional, estimulando el orgullo de pertenencia."
LÍDER DE PROYECTOS,Gestional la ejecución de las diferentes tareas de un proyecto.
LÍDER DE VENTAS,"Establecer comunicación con prospectos a cliente, para proporcionar información relativa de nuestros servicios, tratando consultas y contratos"
LÍDER DE FINANZAS,"Asegurarse de que los procesos, productos y servicios suministrados externamente sean a través de coordinación, registro y aplicación de información financiera y contable a la Dirección."
LÍDER DE PLANTA,"Implementar la producción y provisión del servicio bajo condiciones controladas, conocer las características de los productos y actividades a desempeñar."
ADMINISTRADOR DE SISTEMAS,"Mantener la infraestructura de la Tecnología de la Información (equipos, software y hardware), necesario para la operación de los procesos. "
CONTROLADOR DE DOCUMENTOS,"Mantener el control y archivo de la documentación del SGC mediante reportes generados en cada uno de los procesos, así como la elaboración de los mismos."
LÍDER DE PRODUCCIÓN,"Implementar la producción y provisión del servicio bajo condiciones controladas, conocer las características de los productos y actividades a desempeñar"
LÍDER GENERAL DE CALIDAD,Implementar la provisión del servicio considerando las etapas apropiadas para verificar que se cumplan los criterios de calidad del producto e implementación actividades de liberación del producto
LÍDER DE SERVICIOS,"Determinar, proporcionar y mantener la Infraestructura necesaria para la operación de sus procesos y lograr la conformidad de sus productos y servicios"
LÍDER DE SEGURIDAD E HIGIENE,"Coadyuvar a determinar, proporcionar y mantener un ambiente necesario para la operación de los procesos."
COORDINADOR DE DESARROLLO HUMANO,Administrar herramientas y participar en procesos que coadyuven a desarrollar los conocimientos y competencia de personal necesarios para la operación de los procesos;  ya sea fuentes internas o externas.
ADMINISTRADOR DE NÓMINAS,"Gestionar los requisitos legales de los empleados (sueldo, prestaciones, movimientos ante IMSS) como partes interesadas."
LÍDER DE MATERIALES,"Identificar, verificar, proteger y salvaguardar la propiedad perteneciente a los clientes o a proveedores externos suministrada para su utilización o incorporación dentro de los procesos y servicios "
LÍDER DE ESTACIÓN,Implementar la producción del servicio bajo condiciones controladas
LÍDER DE CALIDAD,Implementar la provisión del servicio considerando las etapas apropiadas para verificar que se cumplan los criterios de calidad del producto y actividades de liberación del producto.
GUARDIA DE SEGURIDAD,"Coadyuvar a determinar, proporcionar y mantener un ambiente necesario para la operación de los procesos."
OPERADOR DE INTENDENCIA,"Coadyuvar a determinar, proporcionar y mantener un ambiente necesario para la operación de los procesos."
SERVIDOR,"Hacer entrega de documentación, insumos en tiempo y forma indicados por el jefe de área, brindar apoyo en las diferentes actividades realizadas en los procesos de la organización."
MATERIALISTA,Cuidar la propiedad perteneciente a los clientes o a proveedores externos mientras esté bajo el control de la organización o esté siendo utilizada por la misma
CHOFER,"Implementar la producción y provisión del servicio bajo condiciones controladas, conocer las características de los servicios a prestar y actividades a desempeñar."
INSPECTOR DE CALIDAD,Implementar la provisión del servicio considerando las etapas apropiadas para verificar que se cumplan los criterios de calidad del producto
TÉCNICO DE MANTENIMIENTO,Mantener la Infraestructura necesaria para la operación de sus procesos y lograr la conformidad de sus productos y servicios
PINTOR,Implementar la producción y provisión del servicio. 
OPERADOR,Implementar la producción y provisión del servicio
